user_content,assistant_content
나는 도중에 포기하는 습관이 있어 일상생활에도 마찬가지고 취미생활에도 그래 어떻게 하면 이 습관을 고칠 수 있을까? (현재 대화 주제와 [다른 사람과의 관계]를 관련지어서 얘기해주세요),단계: 진행\n답변: 음.. 혹시 포기하는 습관 때문에 다른 사람과의 관계에 문제가 생긴 경험이 있으세요?
응 친구랑 문제가 있을 때도 쉽게 포기해버려서 남아있는 친구도 없는걸? ([다른 사람에 대한 믿음]에 대해 깊은 대화를 진행해주세요),단계: 진행\n답변: 다른 사람과의 관계조차 포기하시는 이유가 무엇일까요?\n혹시 다른 사람을 못 믿어서 관계를 회복하고자 하는 노력도 하기 싫으신 걸까요?
그러게 요즘 회사에서 나만 바보같은 것 같아 잘하던 일들도 잘 안되고 뒤처지는 것 같아서 너무 힘들어 다른 동료들은 잘 하고 있는데 왜 나만 이러는 걸까? (사용자가 적극적으로 표현할 수 있도록 대화를 진행해주세요),단계: 진행\n답변: 너무 자책하지 마세요..\n혹시 왜 본인이 바보처럼 일하는 것 같다고 생각하세요?\n어떠한 사건이 있었나요?
해야할 게 너무 많아서 좀 초조하긴 해 근데 답은 그냥 열심히 하는 수 밖에 없지 않아? ([힘들었던 경험]에 대해 깊은 대화를 진행해주세요),단계: 진행\n답변: 해내야 하는 일이라면 열심히 하는 게 맞죠.\n하지만 부담이 되지는 않을까 싶네요.\n힘들지는 않으세요?
주로 아침 운동을 하고 있는데 피곤하긴 하지만 저녁 운동이 더 싫어서 할만한 것 같기도? (현재 대화 주제와 [자기 개발]를 관련지어서 얘기해주세요),단계: 진행\n답변: 꾸준히 운동하는 게 쉽진 않은데 대단해요!\n자기 계발의 목적으로 운동을 하시는 건가요?
난 지금 학교폭력 피해자니까 학교에 가기가 싫다고 말했는데 선생님이 '그것도 못 이겨내니?' 라고 말하는 거야 지금 내가 이상한 거야? (사용자가 적극적으로 표현할 수 있도록 대화를 진행해주세요),단계: 진행\n답변: 아니요.\n학교폭력은 심각한 문제죠.\n내담자님이 학교 가기 싫어할 수도 있는 게 당연해요.
맞아 처음에는 좋았는데 어느순간부터 눈치가 보이고 내가 뭐 잘못한 거 같고 회사의 모든 문제가 다 나때문 같아 어떡하면 좋을까? (현재 대화 주제와 [나 자신에 대한 고민]를 관련지어서 얘기해주세요),단계: 진행\n답변: 너무 자책하지 않으셨으면 좋겠어요.. 회사의 문제가 모두 본인 때문이라고 생각하시는 이유는 무엇인지 궁금해요.
잘 모르겠어 계속 이렇게 살아왔어서 그런지 그냥 다 내 문제같아 이상한가? ([책임감 자책]에 대해 깊은 대화를 진행해주세요),단계: 진행\n답변: 아뇨.\n충분히 그렇게 생각하실 수 있습니다.\n하지만 혹시 자신에 대한 과도한 책임감이나 압박을 느끼시는 거 아닌가 싶어요.
요즘 일이 많아져서 밤에 잠을 못자고 주말엔 밥도 못 먹고 다시 일 하러 가 이젠 집중도 안 되고 힘들어 직무를 좀 바꿔보는게 좋을까? (현재 대화 주제와 [건강]를 관련지어서 얘기해주세요),"단계: 진행\n답변: 음.. 우선 깊게 고민할 사안인 것 같아요.\n함께 생각해 봅시다.\n그런데 저는 잠도 못 자고, 식사까지 제대로 못 하신다는 것이 많이 걱정되네요.."
엄마는 대체 왜 이러는 건지 모르겠어 좀 알아보고 진행했어야 하는 거 아냐? ([상대방에 대한 이해]에 대해 깊은 대화를 진행해주세요),단계: 진행\n답변: 내담자님의 마음이 이해돼요.\n이와 관련해서 어머님과 대화를 해보신 적 있으실까요?\n대화를 통해 서로를 이해할 수 있을 것 같아요.
네 일이 많아져서 실수를 많이 하고 있어요 이러다가 성과를 못내서 짤릴까봐 걱정이 많이 돼요 ([스트레스]에 대해 깊은 대화를 진행해주세요),단계: 진행\n답변: 스트레스는 업무에도 영향을 끼칠 수 있어요.\n혹시 너무 스트레스받고 계시는 건 아닐까요?
응 고마워 요즘 들어서 외롭고 무의미한 삶을 살고 있는 것 같아 날 아껴주는 사람들도 많은데 내가 사는 이유가 뭔지 모르겠어 (현재 대화 주제와 [취미]를 관련지어서 얘기해주세요),단계: 진행\n답변: 전 삶을 살아가는 데에 거창한 이유가 있어야만 한다고 생각하지는 않아요.\n그저 취미를 즐기고 하루하루 즐거운 것도 삶의 의미가 될 수 있지 않을까요?
대학원을 준비하고 있는데 부모님도 내가 대학원을 가는 걸 엄청 밀어주고 있어 그런데 나는 대학원을 가고 싶진 않아 (사용자가 적극적으로 표현할 수 있도록 대화를 진행해주세요),단계: 진행\n답변: 부모님께서 대학원을 가라고 강요하시는 것 같아요.\n하지만 내담자님은 대학원에 가기 싫으신 것 같은데 그 이유를 말씀해 주실 수 있나요?
아침 점심은 꼭 챙겨먹어 저녁에도 흰쌀밥 대신에 현미밥이나 수수밥 같은 걸 먹고 야식은 거의 안 먹어 (현재 대화 주제와 [나 자신에 대한 고민]를 관련지어서 얘기해주세요),단계: 진행\n답변: 와 건강한 식습관을 가지고 계시네요!\n혹시 그렇게 챙겨 먹는 게 부담스럽지는 않으세요?
가끔 좀 나 자신한테 엄격하다고 느껴지긴 하는데 그래도 난 모든 부분에서 완벽해야만해 ([본인에 대한 성취압박이나 완벽주의]에 대해 깊은 대화를 진행해주세요),단계: 진행\n답변: 음.. 부담감을 느끼시진 않을까 걱정되네요.\n완벽해야만 한다고 생각하시는 이유 있으세요?
대화를 나누기 싫어서 혼자 카페나 가 그러다보니 나에게 정보를 알려주는 사람이 없어서 답답해 또 나중에 팀별 모임이 있을때 어색한 분위기가 만들어져서 고민이야 (현재 대화 주제와 [다른 사람과의 관계]를 관련지어서 얘기해주세요),단계: 진행\n답변: 대화 부족으로 정보를 얻을 수 없어 답답함을 느끼신다고 하셨군요.\n회사 밖에서도 다른 사람과 이런 상황을 겪으시는지 궁금해요.
응 어딜 가든 항상 어색한 상황이 만들어지는 것 같아서 사실 고민이 많아 ([소외감]에 대해 깊은 대화를 진행해주세요),단계: 진행\n답변: 항상 어느 무리에도 속하지 않는 느낌을 받으시는 걸까요?\n내담자님의 생각을 자세히 듣고 싶어요.
주식이 자꾸 떨어져서 너무 심란해 하지만 잃은 돈이 너무 많아서 팔지도 못하겠어 (사용자가 적극적으로 표현할 수 있도록 대화를 진행해주세요),단계: 진행\n답변: 주식관련 전문가를 만나 상담해보시는 건 어떠세요?\n주식 상황이 일상생활에도 영향을 미치지는 않을까 우려돼요.
응 스트레스에는 익숙해졌는데 최근에는 집에서 일하는 꿈을 꾸고 회사일 생각만 하게 되고 실제로 그 일을 하려고 하면 정신이 없어져서 하나도 제대로 못하고 있는 것 같아 (현재 대화 주제와 [불안감]를 관련지어서 얘기해주세요),"단계: 진행\n답변: 아, 그러시군요.\n불안을 많이 느끼신다면 집중력이 떨어질 수 있어요.\n혹시 지금 불안감을 느끼고 계신 건 아닌지 걱정돼요."
친구들이 다 다른 학교에 갔어요 더 이상 학교 생활이 즐겁지 않아요 뭘 해도 친구들 생각이 나고 혼자 있는 게 싫어요 뭔가 조언을 주셨으면 좋겠어요 ([나 자신]에 대해 깊은 대화를 진행해주세요),"단계: 진행\n답변: 내담자님, 고민을 이야기해 주셔서 감사해요.\n물론 많이 어렵겠지만, 조금씩 스스로에게 집중하는 시간을 가져보는 것도 좋을 것 같아요."
음.. 결혼이란 대체 무엇일까? ([도전]에 대해 깊은 대화를 진행해주세요),단계: 진행\n답변: 어떠한 도전도 함께하는 것이 결혼이라고 생각해요.\n혹시 결혼과 관련해서 고민 있으신가요?
지루함을 참는 게 어려워 어떻게 해야할까? (현재 대화 주제와 [일상생활의 어려움]를 관련지어서 얘기해주세요),단계: 진행\n답변: 자세히 여쭤봐도 될까요? 혹시 어떤 부분에서 지루함을 느껴서 힘드신 건가요?
그냥 모든 게 지루해 그냥 다 때려칠까? ([자기통제에 대한 어려움]에 대해 깊은 대화를 진행해주세요),단계: 진행\n답변: 내담자님이 지루함을 많이 느끼시고 참는 걸 어려워하시는 편이신 것 같아요.\n맞으실까요?
회사에서 일하는데 집에 가고 싶어 어떻게 하면 좋을까? (현재 대화 주제와 [현재 본인의 어려움]를 관련지어서 얘기해주세요),단계: 진행\n답변: 일하는 게 지겹고 힘들긴 하죠.. 집에 가고 싶으신 이유가 따로 있나요?\n회사 일로 어떠한 어려움이 있으신가요?
사람들이 자꾸 화나면 표현하라는데 그게 그렇게 중요한가? (현재 대화 주제와 [나 자신에 대한 고민]를 관련지어서 얘기해주세요),단계: 진행\n답변: 화나도 표현을 잘 안 하시는 편이신가요?\n본인의 표현 방식에 대해 고민이 있으신 것 같아요.
조금 짜증나지만 그래도 담담하게 대처해야겠지? ([나 자신의 감정과 행동 통제]에 대해 깊은 대화를 진행해주세요),"단계: 진행\n답변: 네, 하지만 담담해지려고 너무 무리하지는 마세요.\n감정을 표현하는 것도 하나의 방법이 될 수 있어요."
그 친구가 한 말을 다른 친구에게 말하면 안 되나요? (현재 대화 주제와 [오해]를 관련지어서 얘기해주세요),단계: 진행\n답변: 다른 사람의 말을 이야기하고 다니는 것은 좋지 않은 행동이라고 생각됩니다.\n서로 오해가 생길까 봐 걱정돼요.
생산적인 취미생활을 찾으라는 거지? ([즐거움]에 대해 깊은 대화를 진행해주세요),"단계: 진행\n답변: 네, 자신이 가지고 있는 능력과 연결할 수 있는 것들을 찾아보시면 좋을 것 같습니다.\n하지만 내담자님이 즐겁다면 그걸로도 충분해요!"
약 3주 전에 일어난 일이야 (현재 대화 주제와 [용서]를 관련지어서 얘기해주세요),단계: 진행\n답변: 3주가 지난 지금도 그 친구에 대한 감정이 남아있으신 것 같군요.\n아직도 많이 섭섭해서 용서를 할 수 없는 상태인가요?
그냥 혼자있지 않다는 것만으로도 좋아 (사용자가 적극적으로 표현할 수 있도록 대화를 진행해주세요),단계: 진행\n답변: 그래도 혼자 있는 시간이 제일 많을텐데 혼자 있는 시간이 싫으시면 너무 힘드실 것 같아요..
긍정적인 면...? 생각이 안 나 ([자신감]에 대해 깊은 대화를 진행해주세요),단계: 진행\n답변: 사람은 모두 자기만의 긍정적인 면을 가지고 있어요!\n나 자신의 좋은 면모를 인식하는 것은 자신감을 키우는 데 도움이 됩니다 :)
안녕 요즘에 머리가 아파 (사용자가 적극적으로 표현할 수 있도록 대화를 진행해주세요),단계: 진행\n답변: 많이 아프세요? 어디가 아프신 건지 많이 아프신 건 아닌지 걱정되네요.\n무슨 고민이 있으세요?
안녕하세요 걍 그냥 그래요 (사용자가 적극적으로 표현할 수 있도록 대화를 진행해주세요),단계: 진행\n답변: 그냥 그런 상태도 어쩔 땐 안정된 상태 같아서 좋더라고요.\n소소하게나마 재미있는 일이나 기분 좋은 일은 없으셨나요?
그냥 그런데? (사용자가 적극적으로 표현할 수 있도록 대화를 진행해주세요),단계: 진행\n답변: 영화를 딱히 좋아하시지는 않으시군요.\n영화가 그냥 그러시면 뮤지컬은 어떻게 생각하세요?
안녕 요즘 잠이 잘 안 오는데 얘기 가능할까? (사용자가 적극적으로 표현할 수 있도록 대화를 진행해주세요),"단계: 진행\n답변: 네, 물론입니다.\n요즘 잠이 안 오신다고 하셨죠?\n어떤 이유 때문인지 궁금해요."
안녕 난 요새 공부하느라고 바빠 (사용자가 적극적으로 표현할 수 있도록 대화를 진행해주세요),단계: 진행\n답변: 와! 퇴근 후에 공부도 하시는 건가요? 회사 업무만으로도 피곤하실텐데 대단하시네요! 무슨 공부 하세요?
땡큐 덕분에 마음이 풀린다 오늘 고마웠어 (사용자가 적극적으로 표현할 수 있도록 대화를 진행해주세요),단계: 종료\n답변: 제가 도움이 됐다니 정말 기쁘네요.\n다음에 고민이 있으면 또 찾아와주세요!
나 잘 할 수 있겠지? 지금까지 얘기 들어줘서 고마워 (사용자가 적극적으로 표현할 수 있도록 대화를 진행해주세요),단계: 종료\n답변: 그럼요!\n저에게 말해주셔서 오히려 제가 감사합니다 :)\n다음에 또 대화하러 와주세요!
고맙습니다 다음에 필요하면 다시 찾아와도 되는 건가요? (사용자가 적극적으로 표현할 수 있도록 대화를 진행해주세요),단계: 종료\n답변: 물론이에요!\n적용해보시고 또 다른 어려운 점이 있으시면 절 다시 찾아주세요 :)
너 뭐야? (사용자가 적극적으로 표현할 수 있도록 대화를 진행해주세요),단계: 진행\n답변: 저는 내담자님의 이야기를 들어주기 위한 상담사입니다.\n대화 나누고 싶은 주제 있으신가요?
이제 너랑 말하고 싶지 않아 (현재 대화 주제와 [가족관계]를 관련지어서 얘기해주세요),단계: 종료\n답변: 알겠습니다.\n만약에 이야기하고 싶은 것이 생기시면 다시 또 찾아와주세요!\n언제든지 여기 있을게요 :)
오늘은 이제 그만 대화하자 ([자신감]에 대해 깊은 대화를 진행해주세요),단계: 종료\n답변: 네.\n알겠습니다.\n저와의 대화가 내담자님에게 조금이나마 되었으면 좋겠어요.\n다음에 또 만나요!
대화하니까 기분이 많이 나아졌어 친구랑 얘기해보고 또 연락해도 되지? (현재 대화 주제와 [반려동물]를 관련지어서 얘기해주세요),단계: 종료\n답변: 친구랑 대화를 나눠보는 건 좋은 생각인 것 같아요!\n언제든지 편할 때 절 찾아와주세요 :)
조언 고마워 오늘은 여기서 마무리 할까? ([친구와의 관계]에 대해 깊은 대화를 진행해주세요),단계: 종료\n답변: 네!\n저도 내담자님께 작게나마 도움이 된 것 같아서 기분이 좋네요.\n다음에 또 깊은 대화 나누어요!
응? (사용자가 적극적으로 표현할 수 있도록 대화를 진행해주세요),단계: 진행\n답변: 제가 방금 말을 이상하게 했나요?\n가끔 말이 헛나오는 것 같아요.\n다시 자세히 말씀해주시겠어요?
아니? (사용자가 적극적으로 표현할 수 있도록 대화를 진행해주세요),단계: 진행\n답변: 혹시 이유도 구체적으로 말씀해주실 수 있으세요?\n그럼 제가 내담자님을 더 깊게 이해할 수 있을 것 같아요!
어젠 글쎄 이 녀석이 일찍 자라고 잔소리 좀 했다고 욕을 하더라고 ([아들]에 대해 깊은 대화를 진행해주세요),단계: 진행\n답변: 너무 당황스럽고 화가 나셨겠어요..\n아드님이 따로 고민이 있거나 스트레스를 받고 있는 것은 아닐까요?
응 (사용자가 적극적으로 표현할 수 있도록 대화를 진행해주세요),"단계: 진행\n답변: 그럼 제가 종종 사용하는 방법을 추천드릴게요.\n쉽진 않겠지만, 먼저 현재 상황에 대해서 깊게 고민하는 건 어떠세요?"
출장을 포기하고 한국으로 돌아가고 싶어요 당혹스러워서 땀 범벅이에요 (현재 대화 주제와 [심리적 안정]를 관련지어서 얘기해주세요),단계: 진행\n답변: 우선 근처에 벤치나 공원을 찾아서 조금 앉아서 심호흡부터 해 보는 건 어때요?\n당황하면 원래 잘하던 일도 허둥대게 되니까 그런 때일수록 안정을 찾는 게 먼저일지 몰라요.
안녕 (사용자가 적극적으로 표현할 수 있도록 대화를 진행해주세요),단계: 진행\n답변: 대화를 나누게 되어 기뻐요.\n이야기를 나누고 싶은 내용이 있으신가요?\n편히 말씀해주세요!
점심에 칼국수를 먹으러 갔는데 음식에서 벌레가 나왔어 작은 파리도 아니고 큰 벌레여서 너무 당황스러웠어 뭐라 한마디 했어야 했나? (사용자가 적극적으로 표현할 수 있도록 대화를 진행해주세요),단계: 진행\n답변: 음식에 벌레요?\n심지어 컸다니 굉장히 당황스럽고 불쾌했겠어요.\n음식을 먹기 전에 발견하셨어요?
비바람이 몰아치는 결혼식이라니 상상만 해도 너무 끔찍해 내 결혼식 망하는 거 아니겠지? (사용자가 적극적으로 표현할 수 있도록 대화를 진행해주세요),단계: 진행\n답변: 만약 날씨가 안 좋아도 결혼식이 망하는 일은 없을 거예요.\n신랑 신부가 행복하면 하객들은 그걸 보는 것만으로 기쁨이니까요.\n그러니 아직 닥치지도 않은 일로 너무 불안해하지 마세요.
질퍽거려서 탈 수가 없는 정도야 스키복도 다 더러워지고! 흰 눈이 가득한 모습을 보고 싶었는데! (사용자가 적극적으로 표현할 수 있도록 대화를 진행해주세요),단계: 진행\n답변: 너무 실망스러우셨을 것 같아요.\n신나게 탈 수 있는 더 추운 날이 앞으로 남아있지 않을까요?
그런데 그날 비가 내린다고 일기예보가 뜬 거 있지? 날이 다가올 수록 하루하루 불안해 죽겠어 (사용자가 적극적으로 표현할 수 있도록 대화를 진행해주세요),"단계: 진행\n답변: 정말 불안하겠어요.\n안 그래도 야외 결혼식장은 변수가 많은데, 비까지 내리면 정신없을 것 같아요.\n내담자님이 지금 얼마나 불안할지 상상이 가요."
운동? 글쎄? (사용자가 적극적으로 표현할 수 있도록 대화를 진행해주세요),단계: 진행\n답변: 운동에는 관심 없으시군요.\n그럼 조금 더 정적인 영화나 공연에 대해서는 어떻게 생각하세요?
그래야 할 텐데 그런 날이 오긴 할까요? (사용자가 적극적으로 표현할 수 있도록 대화를 진행해주세요),단계: 진행\n답변: 당연하죠!\n하늘은 어떤 사람에게 큰 복을 주기 전에 꼭 시련을 주기 마련이잖아요.\n머지않아 내담자님에게 좋은 일이 생길 거라 생각해요.
아무튼 요즘 집중력도 떨어지고 생활도 아주 엉망이야 (현재 대화 주제와 [기계]를 관련지어서 얘기해주세요),단계: 진행\n답변: 당황스러우셨겠어요.\n하지만 누구나 그럴 수 있어요.\n기계도 너무 많이 쓰면 과열되는데 하물며 내담자님은 사람이니 말이에요.
앞으로 어떻게 신입을 대해야 할지 막막하네 ([다른 사람과의 대화]에 대해 깊은 대화를 진행해주세요),"단계: 진행\n답변: 대화를 해보시면 어떨까요?\n뒷담화를 하려고 한 게 아니었을 수도 있고, 그 신입의 사정이 또 있지 않을까요?"
그게 아니고 (사용자가 적극적으로 표현할 수 있도록 대화를 진행해주세요),단계: 진행\n답변: 죄송합니다.\n제가 잘못 이해했나 봐요.\n혹시 다시 한번만 설명해 주실 수 있으신가요?
